Article URL,total_freq
https://www.craigmurray.org.uk/archives/2017/09/the-appalling-pottingers/,2
http://news.quiboat.com/Gd76KUz7,1
https://syria.liveuamap.com/en/2017/18-august-uk-search-and-rescue-teams-are-donating-equipment,11
http://www.newsweek.com/us-horrified-brutal-assassination-white-helmets-650318,216
http://iccabodgruntfuttock.simplesite.com/436359772,1
https://gu.com/p/63jkp/stw,1
http://www.jewworldorder.org/james-le-mesurier-the-former-british-mercenary-who-founded-the-white-helmets/,2
http://ronpaulinstitute.org/archives/featured-articles/2017/july/21/syria-gas-attack-and-russian-election-hackingdebunking-fake-news-with-scott-ritter/,1
http://www.thedailysheeple.com/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses_062017#sthash.L7yGq3aQ.uxfs,13
http://jforpeace.blogspot.com/2017/08/mainstream-media-weeps-for-dead-white.html,2
https://www.flickr.com/photos/iranarabspring/albums/72157685215151733,18
https://www.sott.net/article/353025-MSM-propaganda-turns-against-itself-Family-of-bleeding-Boy-in-Ambulance-from-Aleppo-tells-truth,1
https://www.sott.net/article/356596-Russian-FM-Zakharova-White-Helmets-part-of-large-scale-defamation-campaign-against-Syrian-government,26
https://southfront.org/swedish-medical-associations-says-white-helmets-murdered-kids-for-fake-gas-attack-videos/#sthash.qw7572AS.uxfs,3
https://www.alternet.org/grayzone-project/white-helmets-assisting-public-executions-rebel-held-syria,239
http://russia.timesofnews.com/white-helmets-rescuers-shot-dead-in-syria/,2
https://www.liveleak.com/view,26
http://russia-insider.com/en/politics/oscar-winning-nobel-prize-nominated-white-helmets-graduate-beheading-syrian-soldiers,195
https://pamelageller.com/2017/06/oscar-winning-humanitarian-white-helmets-caught-dumping-beheaded-bodies.html/,343
https://www.rt.com/news/391198-aleppo-boy-rt-interview/,46
http://www.thetruthseeker.co.uk/?p=154188,6
https://failedevolution.blogspot.gr/2017/08/the-former-british-mercenary-who_6.html,12
https://clarityofsignal.com/2017/03/04/examining-the-bizarre-facebook-page-of-the-snopes-fact-checker-of-the-white-helmets-terrorist-ruse-in-syria/,3
http://www.nationalreview.com/article/448171/notes-oslo-freedom-forum-2017-part-v,2
http://centrodeperiodicos.blogspot.com/2016/09/white-helmets-o-cascos-blancos-la-ong.html,1
http://21stcenturywire.com/2017/03/13/secret-1bn-uk-war-chest-used-to-fund-the-white-helmets-and-other-initiatives/,1
https://en.wikipedia.org/wiki/White_Helmets_(Syrian_Civil_War),3
http://www.dailymail.co.uk/news/article-4805430/White-Helmets-ride-time-month.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490,31
http://www.pbs.org/pov/lastmeninaleppo/#.WWqAAO7LRf0.twitter,5
http://www.newslocker.com/en-us/profession/restaurant/the-latest-us-condemns-killing-of-7-white-helmets-in-syria/,1
http://www.sekarang.ga/2017/05/tak-banyak-diketahui-ini-satu-aktivitas.html,1
http://apnews.com/,1
http://www.huffingtonpost.com/entry/syria-white-helmets-court-bernie-sanders-new-friends_us_590ce890e4b0104c734f1a51,16
http://www.tipperarystar.ie/news/home/264410/syria-s-white-helmets-to-receivetipperary-international-peace-prize.html#.WYxHuLYRA0Y.twitter,18
http://www.breitbart.com/jerusalem/2017/08/12/seven-white-helmets-killed-jihadist-held-syria-town/,23
https://worldtruth.tv/gruesome-video-shows-oscar-winning-white-helmets-beheading-dumping-syrian-army-bodies/,8
http://www.tomcc.org/Home/News/5d9245b120bc4626854e859611023ea0,1
https://socialscud.com/598f1f049f9d51427f1b6897/gunmen-kill-7-white-helmets-volunteers-in-syria,1
http://breakingnewslive.net/news/7-white-helmets-rescue-workers-fatally-shot-in-northeast-syria?uid=347375,2
http://www.legitgov.org/White-Helmets-Volunteer-Caught-Rebels-Dumping-Beheaded-Bodies,4
http://feeds.feedburner.com/~r/therealrapgamefeed/~3/AV-kgnZ8XxA/,1
https://thewallwillfall.org/2016/10/08/ignore-syria-the-movie-and-please-read-vanessa-beeley-on-syria-the-white-helmets/,107
http://ilerihaber.org/icerik/umranin-babasi-cocugum-hicbir-yara-almamisti-provokasyon-amacli-o-hale-getirdiler-72605.html,4
http://21stcenturywire.com/2017/09/06/tipperarys-white-helmets-peace-prize-judas-kiss-antiwar-movement-syria/,313
http://www.f3nws.com/news/white-helmets-rescuers-shot-dead-in-syria-attack-VczjPG?v=170812131843,1
https://www.state.gov/r/pa/prs/ps/2017/08/273404.htm,5
http://www.london-fire.gov.uk/news/LatestNewsReleases_Equipmentsavingsyrianlives.asp#.WamnUMiGPct,9
http://rusvesna.su/english/1497090342,2
https://uk.news.yahoo.com/white-helmets-wow-crowds-jaw-125900922.html,1
http://www.makewarshistory.co.uk/?p=4129,6
https://friendsofsyria.wordpress.com/2016/11/21/cnn-in-a-panic-over-assad-success-collapse-of-white-helmets-narrative-fumbling-over-humanitarian-organizations/,1
http://21stcenturywire.com/2017/09/01/white-helmets-the-jib-al-qubeh-war-crime-in-aleppo-denied-by-channel-4/#disqus_thread,117
http://eaworldview.com/2017/08/syria-daily-white-helmets-mourn-7-slain-colleagues/,44
http://notinthenews.uk/david-icke/white-helmets-member-caught-on-camera-disposing-of-syrian-soldiers-mutilated-bodies/,1
http://therealnews.com/t2/component/content/article/641-ben-norton-and-max-blumenthal/3157--yet-another-video-shows-us-funded-white-helmets-assisting-public-executions-in-rebel-held-syria,2
http://espn.go.com/college-football/,10
http://beforeitsnews.com/alternative/2017/06/syrian-white-helmets-volunteer-caught-on-video-dumping-mutilated-corpses-3525521.html,8
http://www.datamun.com/2017/06/15/the-white-helmets-fighting-for-life-in-syrias-vicious-civil-war/,1
http://www.anews.com.tr/world/2017/08/12/7-white-helmets-volunteers-shot-dead-by-gunmen-in-syrias-idlib,2
http://www.15minutenews.com/article/128460708/7-white-helmets-medics-killed-in-syrias-idlib/,1
https://www.therussophile.org/john-pilger-white-helmets-are-a-complete-propaganda-construct-in-syria.html/,6
https://www.konga.com/,1
https://soundcloud.com/wasfi-massarani/white-helmets-song,2
https://www.upi.com/Top_News/World-News/2017/08/12/Gunmen-kill-7-White-Helmets-volunteers-in-Syria/1281502546139/,28
http://www.newssummedup.com/a/ursaso,1
http://www.eleftherostypos.gr/diethni/120652-friki-sti-syria-ektelesan-en-psyxro-epta-diasostes-ton-white-helmets-binteo/,2
http://russianservices.us/blog/white-helmets-member-caught-on-camera-disposing-of-syrian-soldiers-mutilated-bodies-graphic-video/,1
http://feeds.feedburner.com/~r/universenew/~3/SIkOg5QqEt8/aHR0cDovL3Jzcy5jbm4uY29tL35yL3Jzcy9lZGl0aW9uX3dvcmxkL34zL2NocTk0bElIbFdJL2luZGV4Lmh0bWw=,1
http://www.dierotepille.com/index.php?id=14&url=620951,2
http://feeds.feedburner.com/~r/TheBikiniCalendar2/~3/vQrKzrosuqE/,1
https://udog-universe.tumblr.com/post/162235501172/john-pilger-the-white-helmets-are-a-complete#_=_,1
http://www.collective-evolution.com/2017/06/19/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world/,50
https://www.redbrickcommunications.com/chatsworth-country-fair-press-day/,2
http://www.syrianews.cc/white-helmets-beheadings-soldiers-ugly-background/,45
https://philanthropost.wordpress.com/2017/07/12/the-white-helmets/,1
http://www.telegraph.co.uk/news/2017/08/12/seven-members-syrias-white-helmets-shot-dead-unknown-gunmen/,147
https://aml.ink/tRjzn,36
http://news.quiboat.com/qd76KVF7,1
http://www.timesofisrael.com/seven-white-helmets-killed-in-jihadist-held-syria-town/,35
https://www.intellinews.org/united-kingdom/the-guardian/2017/08/15/syrias-white-helmets-protest-against-killings-of-rescue-workers-world-news/,1
https://english.kolkata24x7.com/international-news/7-white-helmets-members-shot-dead-syria,2
https://farsight3.wordpress.com/2017/04/11/trump-kehrtwende-oder-schachzug/,1
http://www.independent.co.uk/news/world/us-government-pentagon-fake-al-qaeda-propganda-videos-a7348371.html,1
https://www.rferl.org/a/syria-7-white-helmets-killed/28672896.html,42
http://sportspyder.com/cf/michigan-wolverines-football/news,1
https://castoropollux.wordpress.com/2017/01/29/vidrig-organhandel-ihop-med-vita-hjalmarna-white-helmets/,1
http://ussanews.com,3
https://apnews.com/7ac62f9365f447b5ad57924bce004937/Syrian-who-worked-on-nominated-film-can't-attend-Oscars,3
http://uk.timesofnews.com/7-white-helmets-members-shot-dead-in-northwestern-syria,1
